FID,Match_addr,Addr_type,StAddr,City,Region,Postal,Country,X,Y,DisplayX,DisplayY,ARC_Single,AGENCY,NAME,YOUTH_FACI,THRIRTYFIV,FRTHGRD_RE,AVAIL_STAF,BEST_TIMES,WEBSITE,PHONE_1,AddressLin,Latitude,Longitude,ADV_RES_RE,EKIP_VOUCH
42,"University Ln, McCall, Idaho, 83638",StreetName,University Ln,McCall,Idaho,83638,USA,-116.087635,44.926473,-116.087635,44.926473,"1800 University Lane, McCall, ID 83638", U.S. Forest Service,McCall Outdoor Science School in partner with Payette and Boise National Forests,"Restrooms, Environmental education facility, Outdoor school",Yes,"Staff or volunteer-led tour/hike, Outdoor classroom, Science/Technology/Engineering/Math (STEM) program","Staff interpreters, Volunteers","Winter (November - February), Spring (March - May), Summer (June - August), Fall (September - October)",http://www.uidaho.edu/cnr/moss,(888) 634-3918,"1800 University Lane, McCall, ID 83638",44.926473,-116.087635,Yes,
43,"700 Coyote Canyon Rd, Jackson, Wyoming, 83001",PointAddress,700 Coyote Canyon Rd,Jackson,Wyoming,83001,USA,-110.812395,43.48998,-110.810231,43.49105,"700 Coyote Canyon Road, Jackson, Wyoming 83001", U.S. Forest Service,Teton Science School in partnership with the Bridget-Teton National Forest,Environmental education facility,Yes,"Staff or volunteer-led tour/hike, Outdoor classroom, Science/Technology/Engineering/Math (STEM) program","Staff interpreters, Volunteers","Winter (November - February), Spring (March - May), Summer (June - August), Fall (September - October)",http://www.tetonscience.org/,307.733.1313,"700 Coyote Canyon Road, Jackson, Wyoming 83001",43.48998,-110.812395,Yes,
44, , , , , , , ,-111.154911,39.530534,0,0, , U.S. Forest Service,"Stuart Guard Station, Manti-La Sal National Forest","Restrooms, Visitor Center, Day use areas",Yes,Staff or volunteer-led tour/hike,"Staff interpreters, Volunteers","Spring (March - May), Summer (June - August), Fall (September - October)",http://www.fs.usda.gov/recarea/mantilasal/recreation/recarea/?recid=73378&actid=120,435-637-2817, ,39.530534,-111.154911,Yes, 
45,"84621, Axtell, Utah",Postal, ,Axtell,Utah,84621,USA,-111.799688,39.064447,-111.799688,39.064447,"Ephraim, UT 84621", U.S. Forest Service,Great Basin Environmental Education Center on the Manti-La Sal National Forest,"Restrooms, Environmental education facility",Yes,"Staff or volunteer-led tour/hike, Outdoor classroom, Science/Technology/Engineering/Math (STEM) program, History/Social Studies/Cultural Heritage program","Staff interpreters, Volunteers","Summer (June - August), Fall (September - October)",http://www.snow.edu/gbeec/info.html http://www.fs.usda.gov/detail/mantilasal/specialplaces/?cid=stelprdb5294672,435-283-7551,"Ephraim, UT 84621",39.064447,-111.799688,Yes,
46,"5 N Fork Canyon Rd, Ketchum, Idaho, 83340",StreetAddress,5 N Fork Canyon Rd,Ketchum,Idaho,83340,USA,-114.419998,43.785835,-114.419998,43.785835,"5 North Fork Canyon Rd, Ketchum, ID 83340", U.S. Forest Service,"Sawtooth National Recreation Area Headquarters Visitor Center, Sawtooth National Forest","Restrooms, Visitor Center, Day use areas",Yes,Staff or volunteer-led tour/hike,"Staff interpreters, Volunteers","Winter (November - February), Spring (March - May), Summer (June - August), Fall (September - October)",http://www.visitidaho.org/attraction/visitor-centers/sawtooth-national-recreation-area-visitor-center/,208-737-3236,"5 North Fork Canyon Rd, Ketchum, ID 83340",43.785835,-114.419998,No,
47, , , , , , , ,0,0,0,0, , U.S. Forest Service,"Redfish Lake Visitor Center, Sawtooth National Recreation Area","Restrooms, Visitor Center, Amphitheater",Yes,"Staff or volunteer-led tour/hike, trails","Volunteers, asociation staff",Summer (June - August),http://www.discoversawtooth.org http://discoversawtooth.org/redfish-center-gallery,208-774-3376, ,0,0,Yes, 
48,"44 W 400 N, Spanish Fork, Utah, 84660",StreetAddress,44 W 400 N,Spanish Fork,Utah,84660,USA,-111.655554,40.115061,-111.655554,40.115061,"44 West 400 North, Spanish Fork, UT 84660", U.S. Forest Service,"Diamond Fork Youth Forest, Uinta-Wasatch-Cache National Forest","Restrooms, outdoor classroom",Yes,"Staff or volunteer-led tour/hike, Outdoor classroom, Science/Technology/Engineering/Math (STEM) program","Staff interpreters, Volunteers","Winter (November - February), Spring (March - May), Summer (June - August), Fall (September - October)",http://www.fs.usda.gov/detailfull/uwcnf/learning/?cid=STELPRDB5108838 http://www.handsontheland.org/site-profiles?Itemid=5&alias=diamond-fork-youth-forest-at-uinta-national-forest,(801) 798-3571 Ext. 264,"44 West 400 North, Spanish Fork, UT 84660",40.115061,-111.655554,Yes,
49,Noord,Locality, ,Rotterdam,Zuid-Holland, ,NLD,4.46907,51.93286,4.46907,51.93286,"1789 N.Wedgewood Ln, Utah 84720", U.S. Forest Service,"Cedar City Ranger District, Dixie National Forest","Restrooms, outdoor classroom",Yes,"Staff or volunteer-led tour/hike, Outdoor classroom","Staff interpreters, Volunteers","Spring (March - May), Summer (June - August), Fall (September - October)",http://www.handsontheland.org/site-profiles?Itemid=5&alias=dixie-national-forest-cedar-city-ranger-district,435-865-3746,"1789 N.Wedgewood Ln, Utah 84720",51.93286,4.46907,Yes,
50,"Big Cottonwood Rd, Salt Lake City, Utah, 84121",StreetName,Big Cottonwood Rd,Salt Lake City,Utah,84121,USA,-111.590699,40.619029,-111.590699,40.619029,"Big Cottonwood Canyon, Salt Lake City, UT 84121", U.S. Forest Service,"Silver Lake Visitor Center and Trail, Uinta-Wasatch-Cache National Forest","Restrooms, Environmental education facility, Day use areas, trails",Yes,"Staff or volunteer-led tour/hike, Outdoor classroom","Staff interpreters, Volunteers, association staff","Summer (June - August), Fall (September - October)",http://www.fs.fed.us/wildflowers/regions/intermountain/SilverLake/index.shtml http://cottonwoodcanyons.org/education/fall-summer-fieldtrips-at-silver-lake/,801-466-6411,"Big Cottonwood Canyon, Salt Lake City, UT 84121",40.619029,-111.590699,No,
51, , , , , , , ,0,0,0,0, , U.S. Forest Service,Modoc National Forest- Warner Mountain Ranger District.,"Restrooms, camp ground",Yes,"Cedar Pass Children's Forest, 3 day event in May annually",Only for the 3 day event in May,Spring (March - May), ,530 279-8331, ,0,0,No, 
52, , , , , , , ,0,0,0,0, , U.S. Forest Service,"Green Mountain National Forest, Texas Falls Recreation Area, Robert Frost Interpretative Trail, Warren Falls Recreation Area, Lefferts Pond Recreation Area","Restrooms, Day use areas",Yes,Natural Environment,"Staff rangers, Volunteers",Summer (June - August),http://www.fs.usda.gov/recmain/greenmountain/recreation,802-747-6700, ,0,0,No, 
53,"84323, Logan, Utah",Postal, ,Logan,Utah,84323,USA,-111.836837,41.73524,-111.836837,41.73524,"Logan Canyon, Logan, UT 84323", U.S. Forest Service,Stokes Nature Center,"Restrooms, Environmental education facility",Yes,"Staff or volunteer-led tour/hike, Outdoor classroom","Staff interpreters, Volunteers","Winter (November - February), Spring (March - May), Summer (June - August), Fall (September - October)",http://logannature.org,435-755-3239,"Logan Canyon, Logan, UT 84323",41.73524,-111.836837,Yes,
54,"5 Portage Glacier Rd, Anchorage, Alaska, 99587",StreetAddress,5 Portage Glacier Rd,Anchorage,Alaska,99587,USA,-148.975385,60.819113,-148.975385,60.819113,"Mile 5 Portage Glacier Road, Alaska 99587", U.S. Forest Service,"Begich, Boggs Visitor Center","Restrooms, Visitor Center",Yes,Staff or volunteer-led tour/hike,Staff interpreters,"Spring (March - May), Summer (June - August), Fall (September - October)",http://www.fs.usda.gov/detail/chugach/home/?cid=stelprdb5251094,907-783-2326,"Mile 5 Portage Glacier Road, Alaska 99587",60.819113,-148.975385,Yes, 
55,"8510 Mendenhall Loop Rd, Juneau, Alaska, 99801",StreetAddress,8510 Mendenhall Loop Rd,Juneau,Alaska,99801,USA,-134.567203,58.398458,-134.567203,58.398458,"8510 Mendenhall Loop Rd, , Alaska 99801", U.S. Forest Service,Mendenhall Glacier Visitor Center,"Restrooms, Visitor Center",Yes,"Staff or volunteer-led tour/hike, Science/Technology/Engineering/Math (STEM) program, History/Social Studies/Cultural Heritage program",Staff interpreters,"Winter (November - February), Spring (March - May), Summer (June - August), Fall (September - October)",http://www.fs.usda.gov/detail/tongass/about-forest/offices/?cid=stelprdb5400800,907-789-0097,"8510 Mendenhall Loop Rd, , Alaska 99801",58.398458,-134.567203,Yes, 
56,"50 Main St, Ketchikan, Alaska, 99901",PointAddress,50 Main St,Ketchikan,Alaska,99901,USA,-131.644202,55.340434,-131.644161,55.34082,"50 Main Street, Alaska 99901", U.S. Forest Service,Southeast Alaska Discovery Center,"Restrooms, Visitor Center",Yes,"Staff or volunteer-led tour/hike, Science/Technology/Engineering/Math (STEM) program, History/Social Studies/Cultural Heritage program",Staff interpreters,"Winter (November - February), Spring (March - May), Summer (June - August), Fall (September - October)",http://alaskacenters.gov/ketchikan.cfm,907-228-6220,"50 Main Street, Alaska 99901",55.340434,-131.644202,Yes, 
57,"Table Rock Rd, Central Point, Oregon, 97502",StreetName,Table Rock Rd,Central Point,Oregon,97502,USA,-122.897692,42.450261,-122.897692,42.450261,"Table Rock Road, Central Point, OR 97502", Bureau of Land Management,The Table Rocks Management Area - Upper Table Rock & Lower Table Rock,"Restrooms, Guided trails",Yes,"Staff or volunteer-led tour/hike, Outdoor classroom, Science/Technology/Engineering/Math (STEM) program, History/Social Studies/Cultural Heritage program, English Language Arts program, Botany, Fire Ecology, Archaeology","Staff interpreters, Staff rangers, Volunteers","Winter (November - February), Spring (March - May), Summer (June - August), Fall (September - October)",http://www.blm.gov/or/resources/recreation/tablerock/index.php,541-618-2200,"Table Rock Road, Central Point, OR 97502",42.450261,-122.897692,Yes,
58,"US 26, Welches, Oregon, 97067",StreetName,US 26,Welches,Oregon,97067,USA,-121.95956,45.347037,-121.95956,45.347037,"65670 US 26, Welches, OR 97067", Bureau of Land Management,Wildwood Recreation Area,"Restrooms, Group shelters, Day use areas, ADA-accessible wetland boardwalk; underwater viewing chamber; Wild & Scenic River; ball fields; playground",Yes,"Outdoor classroom, Science/Technology/Engineering/Math (STEM) program, Geocaching, Cascade Streamwatch Self-Guided Interpretation Trail","Staff rangers, Volunteers, Partner groups offer environmental education programs","Spring (March - May), Summer (June - August), Fall (September - October)",http://www.blm.gov/or/resources/recreation/site_info.php?siteid=221,503-375-5646,"65670 US 26, Welches, OR 97067",45.347037,-121.95956,No,
59,"750 NW Lighthouse Dr, Newport, Oregon, 97365",PointAddress,750 NW Lighthouse Dr,Newport,Oregon,97365,USA,-124.071841,44.675103,-124.071991,44.67471,"750 NW Lighthouse Drive, Newport, OR 97365", Bureau of Land Management,Yaquina Head Outstanding Natural Area and Interpretive Center,"Restrooms, Visitor Center, Environmental education facility, Day use areas, Lighthouse, Tidepools, ADA accessible",Yes,"Staff or volunteer-led tour/hike, Outdoor classroom, Science/Technology/Engineering/Math (STEM) program, History/Social Studies/Cultural Heritage program, Watchable Wildlife","Staff interpreters, Staff rangers, Volunteers","Winter (November - February), Spring (March - May), Summer (June - August), Fall (September - October)",http://www.blm.gov/or/resources/recreation/yaquina/index.php,541-574-3100,"750 NW Lighthouse Drive, Newport, OR 97365",44.675103,-124.071841,No,
60,"500 Captain Armours Way, Jupiter, Florida, 33469",PointAddress,500 Captain Armours Way,Jupiter,Florida,33469,USA,-80.084296,26.951964,-80.081631,26.9501,"500 Captain Armour's Way, Jupiter, FL", Bureau of Land Management,Jupiter Inlet Lighthouse Outstanding Natural Area,"Restrooms, Visitor Center, Environmental education facility, Group shelters, Day use areas, Museum, Observation Deck, Historic Structures, Developed Trails",Yes,"Staff or volunteer-led tour/hike, Outdoor classroom, Science/Technology/Engineering/Math (STEM) program, History/Social Studies/Cultural Heritage program, Geocaching, Kayaking, Paddleboarding, Snorkeling","Staff interpreters, Volunteers, Partner interpreters","Winter (November - February), Spring (March - May), Summer (June - August), Fall (September - October)",http://www.blm.gov/es/st/en/prog/NLCS/JIL_ONA.html,561-747-8380,"500 Captain Armour's Way, Jupiter, FL",26.952708,-80.082514,No,
61,"10406 Gunston Rd, Lorton, Virginia, 22079",StreetAddress,10406 Gunston Rd,Lorton,Virginia,22079,USA,-77.19867,38.675766,-77.19867,38.675766,"10406 Gunston Road, Lorton, VA 22079", Bureau of Land Management,Meadowood Special Recreation Management Area,"Environmental education facility, Day use areas",Yes,"Staff or volunteer-led tour/hike, Outdoor classroom",Environmental Education Specialist,"Spring (March - May), Summer (June - August), Fall (September - October)",http://www.blm.gov/es/st/en/fo/lpfo_html.html,703-3393467,"10406 Gunston Road, Lorton, VA 22079",38.675766,-77.19867,No,
62,"521 N Main St, Jonesboro, Illinois, 62952",StreetAddress,521 N Main St,Jonesboro,Illinois,62952,USA,-89.268221,37.457507,-89.268221,37.457507,"521 N. Main, Jonesboro, IL. 62952", U.S. Forest Service,"Shawnee National Forest, Lincoln Memorial Site","Restrooms, Group shelters, Day use areas, walking path",Yes,"Outdoor classroom, Science/Technology/Engineering/Math (STEM) program, History/Social Studies/Cultural Heritage program, Young Explorers Backpack for loan",Self-led Activities,"Winter (November - February), Spring (March - May), Summer (June - August), Fall (September - October)",http://www.fs.usda.gov/shawnee,6188338576,"521 N. Main, Jonesboro, IL. 62952",37.457507,-89.268221,No,
63,"19777 Greenley Rd, Sonora, California, 95370",PointAddress,19777 Greenley Rd,Sonora,California,95370,USA,-120.367598,37.982599,-120.366751,37.98242,"19777 Greenley Road, CA 95370", U.S. Forest Service,"Stanislaus National Forest, Groveland Ranger District","Restrooms, Visitor Center, campground",Yes,"Outdoor classroom, Tree Planting","Staff rangers, Volunteers, partners",Spring (March - May), ,2095323671. ext 240,"19777 Greenley Road, CA 95370",37.982599,-120.367598,Yes,
64, , , , , , , ,0,0,0,0, , Bureau of Reclamation,Lake Berryessa Resevoir,"Restrooms, Visitor Center, Group shelters, Day use areas",Yes,"Staff or volunteer-led tour/hike, Outdoor classroom, Fishing",Staff rangers,"Winter (November - February), Spring (March - May), Summer (June - August), Fall (September - October)",http://www.usbr.gov/mp/ccao/berryessa/,707-966-2111 ex.112, ,0,0,No, 
65, , , , , , , ,0,0,0,0, , U.S. Forest Service,"Mount St Helens National Volcanic Monument, Gifford Pinchot National Forest","Restrooms, Visitor Center, Amphitheater, Day use areas, lake, boat launch, viewpoints, trails, interpretive trails",Yes,"Staff or volunteer-led tour/hike, Science/Technology/Engineering/Math (STEM) program, we have many hands on and overnight activities also available through our partners.","Staff interpreters, Staff rangers, Volunteers, partner interns and volunteers","Spring (March - May), Summer (June - August), Fall (September - October)",http://www.fs.usda.gov/mountsthelens,360-274-2140, ,0,0,No, 
66,"49761 Highway 180, Miramonte, California, 93641",StreetAddress,49761 Highway 180,Miramonte,California,93641,USA,-119.004344,36.721662,-119.004344,36.721662,"49761 Highway 180 Miramonte, Ca. 93641", U.S. Forest Service,"Sequoia Lake, California.  The Sequoia Lake YMCA",YMCA Camp with a lake,Yes,Staff or volunteer-led tour/hike,"Staff interpreters, Staff rangers, Volunteers, Natural Resource Managers and Professionals",Fall (September - October), ,(559) 855-5355 ext 3326,"49761 Highway 180 Miramonte, Ca. 93641",36.721662,-119.004344,Yes,
67,"CA 18, Running Springs, California, 92382",StreetName,CA 18,Running Springs,California,92382,USA,-117.108326,34.205837,-117.108326,34.205837,"32573 Ca-18 Running Springs, CA 92382", U.S. Forest Service,The National Children's Forest located on the San Bernardino National Forest in the Pacific Southwest Region (R5).,"Restrooms, Visitor Center, Environmental education facility",Yes,"Staff or volunteer-led tour/hike, Outdoor classroom, Hiking, biking, camping information, adventure passes, educational tours, and Natural History of the Area.","Staff rangers, Volunteers, Staff Naturalists","Spring (March - May), Summer (June - August)",http://mountainsfoundation.org/childrens-forest,(909) 867-5996,"32573 Ca-18 Running Springs, CA 92382",34.205837,-117.108326,Yes,
